"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000126767","ELK1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);RAS pathway related proteins;Transcription factors;Transcription factors predicted","Low tissue specificity","","Detected in all","53.24 - brain","7.52 - retina","Low tissue specificity","","Detected in all","121.73 - amygdala","14.88 - choroid plexus","Low tissue specificity","","Detected in all","121.73 - amygdala","10.24 - cerebellar white matter","Low tissue specificity","","Detected in all","121.73 - corticomedial amygdala","8.87 - parieto-temporal junction (white matter)",NA
"ENSG00000102265","TIMP1","Cancer-related genes;Candidate cardiovascular disease genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","urinary bladder","Detected in all","2193.16 - urinary bladder","25.12 - retina","Tissue enhanced","thalamus","Detected in all","427.61 - thalamus","35.39 - basal ganglia","Tissue enhanced","dorsal thalamus","Detected in all","427.61 - dorsal thalamus","25.67 - claustrum","Tissue enhanced","anterior thalamic nucleus, ventral;area parastriata, superior","Detected in all","427.61 - anterior thalamic nucleus, ventral","16.50 - parieto-temporal junction (white matter)",NA
"ENSG00000147130","ZMYM3","Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","36.00 - ovary","5.52 - tongue","Low tissue specificity","","Detected in all","53.60 - hypothalamus","19.56 - choroid plexus","Low tissue specificity","","Detected in all","53.60 - tuberal hypothalamus","19.56 - choroid plexus","Low tissue specificity","","Detected in all","53.60 - ventromedial nucleus","19.56 - choroid plexus",NA
"ENSG00000147166","ITGB1BP2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","heart muscle;skeletal muscle;tongue","Detected in many","86.51 - heart muscle","0.07 - parathyroid gland","Low tissue specificity","","Detected in many","2.01 - cerebellum","1.00 - choroid plexus","Low tissue specificity","","Detected in many","2.01 - cerebellum","0.82 - insular cortex","Low tissue specificity","","Detected in some","2.01 - flocculonodular lobe","0.56 - temporo-occipital transitional zone",NA
"ENSG00000186810","CXCR3","CD markers;G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Tissue enhanced","bone marrow;intestine;lymphoid tissue","Detected in some","16.00 - lymphoid tissue","0.00 - retina","Low tissue specificity","","Detected in many","1.51 - cerebral cortex","0.58 - choroid plexus","Low tissue specificity","","Detected in some","1.51 - retrosplenial cortex","0.42 - mammillary body","Low tissue specificity","","Detected in some","1.51 - retrosplenial cortex","0.24 - corpus callosum, genu (white matter)",NA
"ENSG00000155962","CLIC2","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters","Low tissue specificity","","Detected in all","48.80 - lymphoid tissue","2.07 - retina","Low tissue specificity","","Detected in all","9.65 - thalamus","6.30 - midbrain","Low tissue specificity","","Detected in all","9.65 - dorsal thalamus","4.97 - claustrum","Low tissue specificity","","Detected in all","9.65 - posterior thalamic nucleus","3.96 - parieto-temporal junction (white matter)",NA
"ENSG00000277745","H2AB3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in some","30.55 - testis","0.00 - tongue","Low tissue specificity","","Detected in all","2.13 - cerebral cortex","1.22 - cerebellum","Low tissue specificity","","Detected in many","2.13 - frontal cortex","0.77 - cerebellar white matter","Low tissue specificity","","Detected in many","2.13 - precentral gyrus","0.63 - corpus callosum, genu (white matter)",NA
"ENSG00000185973","TMLHE","Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","32.17 - tongue","2.87 - testis","Low tissue specificity","","Detected in all","20.56 - white matter","13.81 - hippocampal formation","Low tissue specificity","","Detected in all","20.56 - spinal cord white matter","11.66 - claustrum","Low tissue specificity","","Detected in all","20.56 - lateral funiculus (white matter)","11.33 - precentral gyrus",NA
"ENSG00000124333","VAMP7","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","46.53 - liver","8.56 - pituitary gland","Low tissue specificity","","Detected in all","28.91 - white matter","19.07 - amygdala","Low tissue specificity","","Detected in all","28.91 - cerebellar white matter","11.75 - cerebellum","Low tissue specificity","","Detected in all","28.91 - cerebellar white matter","9.74 - flocculonodular lobe",NA
"ENSG00000102076","OPN1LW","Disease related genes;G-protein coupled receptors;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted membrane proteins;Transporters","Tissue enriched","retina","Detected in single","248.29 - retina","0.00 - tongue","Not detected","","Not detected","0.07 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.07 - occipital cortex","0.00 - cerebellar white matter","Not detected","","Not detected","0.07 - area parastriata, superior","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000268221","OPN1MW","Disease related genes;G-protein coupled receptors;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted membrane proteins","Tissue enriched","retina","Detected in single","13.19 - retina","0.00 - choroid plexus","Not detected","","Not detected","0.16 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.16 - occipital cortex","0.00 - epithalamus","Not detected","","Not detected","0.16 - area parastriata, superior","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000007350","TKTL1","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","testis","Detected in some","123.45 - testis","0.04 - esophagus","Group enriched","cerebral cortex;medulla oblongata","Detected in some","8.78 - cerebral cortex","0.15 - cerebellum","Group enriched","medulla oblongata;occipital cortex","Detected in some","8.78 - occipital cortex","0.12 - cerebellar nucleus","Group enriched","area parastriata, superior;area postrema","Detected in some","8.78 - area parastriata, superior","0.02 - superior olive",NA
"ENSG00000071859","FAM50A","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","98.80 - skeletal muscle","16.65 - testis","Low tissue specificity","","Detected in all","50.81 - pons","32.76 - choroid plexus","Low tissue specificity","","Detected in all","50.81 - pons","27.60 - tuberal hypothalamus","Low tissue specificity","","Detected in all","50.81 - dorsal tegmental nucleus","19.06 - ventromedial nucleus",NA
"ENSG00000130827","PLXNA3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014)","Low tissue specificity","","Detected in all","24.20 - pituitary gland","1.07 - tongue","Low tissue specificity","","Detected in all","20.32 - hypothalamus","11.16 - spinal cord","Low tissue specificity","","Detected in all","20.32 - tuberal hypothalamus","8.18 - cerebellar nucleus","Low tissue specificity","","Detected in all","20.32 - ventromedial nucleus","5.84 - postcentral gyrus",NA
"ENSG00000102178","UBL4A","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","94.49 - skeletal muscle","4.41 - testis","Low tissue specificity","","Detected in all","41.56 - cerebral cortex","16.26 - choroid plexus","Low tissue specificity","","Detected in all","41.56 - parietal cortex","16.26 - choroid plexus","Low tissue specificity","","Detected in all","41.56 - postcentral gyrus","15.21 - flocculonodular lobe",NA
"ENSG00000126903","SLC10A3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Transporters","Low tissue specificity","","Detected in all","41.57 - skin 1","1.95 - retina","Low tissue specificity","","Detected in all","13.84 - thalamus","8.32 - hippocampal formation","Low tissue specificity","","Detected in all","13.84 - dorsal thalamus","7.83 - claustrum","Low tissue specificity","","Detected in all","13.84 - anterior thalamic nucleus, ventral","6.48 - nucleus accumbens",NA
"ENSG00000147180","ZNF711","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Transcription factors;Transcription factors predicted","Tissue enhanced","testis","Detected in many","36.24 - testis","0.57 - liver","Low tissue specificity","","Detected in all","17.54 - basal ganglia","4.66 - choroid plexus","Low tissue specificity","","Detected in all","17.54 - basal forebrain","4.66 - choroid plexus","Low tissue specificity","","Detected in all","17.54 - nucleus of the diagonal band","4.66 - choroid plexus",NA
"ENSG00000123570","RAB9B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","heart muscle","Detected in many","20.82 - heart muscle","0.14 - bone marrow","Low tissue specificity","","Detected in all","21.76 - hypothalamus","1.13 - choroid plexus","Low tissue specificity","","Detected in all","21.76 - tuberal hypothalamus","1.13 - choroid plexus","Low tissue specificity","","Detected in all","21.76 - arcuate nucleus","1.13 - choroid plexus",NA
"ENSG00000158427","TMSB15B","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in many","16.00 - ovary","0.46 - liver","Low tissue specificity","","Detected in all","17.65 - cerebellum","1.36 - choroid plexus","Low tissue specificity","","Detected in all","17.65 - cerebellum","1.36 - choroid plexus","Low tissue specificity","","Detected in all","17.65 - cerebellar cortex","1.36 - choroid plexus",NA
"ENSG00000005302","MSL3","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","48.20 - lymphoid tissue","5.27 - epididymis","Low tissue specificity","","Detected in all","19.24 - hypothalamus","12.01 - cerebellum","Low tissue specificity","","Detected in all","19.24 - tuberal hypothalamus","10.22 - cerebellum","Low tissue specificity","","Detected in all","19.24 - ventromedial nucleus","9.65 - vermis",NA
"ENSG00000196664","TLR7","Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","placenta","Detected in many","6.22 - placenta","0.12 - vagina","Low tissue specificity","","Detected in all","12.93 - white matter","2.65 - hippocampal formation","Low tissue specificity","","Detected in all","12.93 - spinal cord white matter","1.03 - cerebellum","Tissue enhanced","lateral funiculus (white matter)","Detected in many","12.93 - lateral funiculus (white matter)","0.50 - postcentral gyrus",NA
"ENSG00000204379","XAGE1A","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","45.72 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.02 - cerebral cortex","0.00 - cerebellum","Not detected","","Not detected","0.02 - insular cortex","0.00 - epithalamus","Not detected","","Not detected","0.02 - anterior insular cortex, dorsal","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000187754","SSX7","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.70 - retina","0.00 - choroid plexus","Low tissue specificity","","Detected in many","7.90 - white matter","0.26 - choroid plexus","Low tissue specificity","","Detected in many","7.90 - cortical white matter","0.26 - choroid plexus","Low tissue specificity","","Detected in many","7.90 - temporal white matter","0.26 - choroid plexus",NA
"ENSG00000204363","SPANXN5","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","16.15 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.02 - hippocampal formation","0.00 - spinal cord","Not detected","","Not detected","0.02 - hippocampal formation","0.00 - spinal cord","Not detected","","Not detected","0.02 - hippocampus, CA3","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000047634","SCML1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","29.82 - retina","3.06 - epididymis","Low tissue specificity","","Detected in all","8.10 - cerebral cortex","4.72 - hippocampal formation","Low tissue specificity","","Detected in all","8.10 - retrosplenial cortex","3.87 - epithalamus","Low tissue specificity","","Detected in all","8.10 - retrosplenial cortex","2.94 - ventromedial nucleus",NA
